,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Chaman,PK,30.9236,66.4512,45.12,35,0,3.0,clear sky
245,Saint-Georges,GD,12.0564,-61.7485,74.88,88,75,0.0,broken clouds
246,Castro,BR,-24.7911,-50.0119,58.03,99,30,5.99,scattered clouds
247,Palana,RU,59.1167,159.9667,2.44,94,35,3.91,scattered clouds
248,Talara,PE,-4.5772,-81.2719,72.59,78,53,9.37,broken clouds
249,Birjand,IR,32.8663,59.2211,44.89,26,0,4.65,clear sky
250,Lagoa,PT,39.05,-27.9833,58.28,70,0,14.83,clear sky
251,Sao Filipe,CV,14.8961,-24.4956,77.07,54,96,6.11,overcast clouds
252,Chuy,UY,-33.6971,-53.4616,64.24,81,0,7.49,clear sky
253,Porto Novo,BJ,6.4965,2.6036,76.05,91,1,4.05,clear sky
254,Coihaique,CL,-45.5752,-72.0662,48.81,88,17,6.04,few clouds
255,Zabaykalsk,RU,49.6333,117.3167,5.88,84,100,5.41,overcast clouds
256,Mitchell,US,43.7094,-98.0298,28.11,81,0,9.22,clear sky
257,Aviles,ES,43.5547,-5.9248,54.73,78,17,9.22,few clouds
258,Ussel,FR,45.55,2.3167,35.4,95,45,2.33,scattered clouds
259,Glendive,US,47.1053,-104.7125,31.62,93,0,4.59,clear sky
260,Kununurra,AU,-15.7667,128.7333,93.18,55,40,6.91,scattered clouds
261,Zeya,RU,53.75,127.2667,9.82,56,93,2.77,overcast clouds
262,Awbari,LY,26.5921,12.7805,42.89,67,3,9.44,clear sky
263,Zhanakorgan,KZ,43.9098,67.2495,33.4,76,79,9.75,broken clouds
264,Port-Gentil,GA,-0.7193,8.7815,81.05,80,98,8.08,overcast clouds
265,Isangel,VU,-19.55,169.2667,78.28,94,100,32.41,heavy intensity rain
266,Aswan,EG,24.0934,32.907,52.02,43,0,14.61,clear sky
267,Chernushka,RU,56.5072,56.0766,17.29,90,100,10.16,overcast clouds
268,Chake Chake,TZ,-5.2459,39.7666,80.62,70,79,10.74,broken clouds
269,Barinas,VE,8.6226,-70.2075,91.44,52,100,2.3,overcast clouds
270,Natal,BR,-5.795,-35.2094,79.45,78,20,4.61,few clouds
271,Iringa,TZ,-7.7667,35.7,58.95,96,100,1.23,light rain
272,Riyadh,SA,24.6877,46.7219,53.74,32,0,9.26,clear sky
273,Winfield,US,37.2398,-96.9956,49.44,61,20,0.0,few clouds
274,Kamenka,RU,51.3223,42.7678,9.1,99,54,6.33,broken clouds
275,Linxia,CN,35.6003,103.2064,24.13,79,100,1.21,overcast clouds
276,Varzea Grande,BR,-15.6467,-56.1325,70.45,97,94,3.8,overcast clouds
277,Evensk,RU,61.95,159.2333,-6.61,77,79,1.43,broken clouds
278,Flinders,AU,-34.5833,150.8552,89.8,61,56,9.19,light rain
279,Canico,PT,32.6333,-16.85,71.01,59,20,4.61,few clouds
280,Anloga,GH,5.7947,0.8973,79.75,84,1,9.01,clear sky
281,Iquitos,PE,-3.7481,-73.2472,73.44,100,75,3.44,broken clouds
282,Marsh Harbour,BS,26.5412,-77.0636,72.14,77,89,10.4,overcast clouds
283,Hay River,CA,60.8156,-115.7999,-0.44,78,75,6.91,light snow
284,Inuvik,CA,68.3499,-133.7218,-11.51,98,100,4.38,overcast clouds
285,Totness,SR,5.8833,-56.3167,75.2,84,8,7.56,clear sky
286,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.29,98,100,1.3,overcast clouds
287,Changji,CN,44.0167,87.3167,18.39,79,75,2.24,light snow
288,Honiara,SB,-9.4333,159.95,85.01,75,45,10.09,light rain
289,Hobyo,SO,5.3505,48.5268,76.69,70,100,20.2,overcast clouds
290,Usakos,NA,-22.0,15.6,74.44,70,70,2.86,broken clouds
291,Faanui,PF,-16.4833,-151.75,81.34,76,80,14.2,light rain
292,Rapid Valley,US,44.0625,-103.1463,37.06,94,100,4.61,overcast clouds
293,Aktyubinskiy,RU,54.8137,52.8056,16.83,89,100,15.48,overcast clouds
294,Pevek,RU,69.7008,170.3133,-31.32,99,99,4.81,overcast clouds
295,Livingstone,ZM,-17.8419,25.8543,64.04,90,5,2.42,clear sky
296,Wencheng,CN,33.0559,113.7978,48.63,48,18,3.78,few clouds
297,Sahuaripa,MX,29.05,-109.2333,58.64,27,67,5.37,broken clouds
298,Richards Bay,ZA,-28.783,32.0377,69.67,91,2,3.65,clear sky
299,Vanavara,RU,60.34,102.2797,-12.17,91,64,4.38,broken clouds
300,Caravelas,BR,-17.7125,-39.2481,75.31,90,63,4.63,broken clouds
301,Guerrero Negro,MX,27.9769,-114.0611,62.11,67,0,9.01,clear sky
302,Taltal,CL,-25.4,-70.4833,64.2,84,1,2.77,clear sky
303,Betioky,MG,-23.7167,44.3833,73.63,78,61,5.99,broken clouds
304,Portland,US,45.5234,-122.6762,52.59,86,20,1.01,few clouds
305,Severo-Kurilsk,RU,50.6789,156.125,30.52,69,99,17.6,overcast clouds
306,Kutum,SD,14.2,24.6667,52.18,22,0,6.04,clear sky
307,Cayenne,GF,4.9333,-52.3333,74.08,92,75,3.44,broken clouds
308,Ornskoldsvik,SE,63.2909,18.7153,25.75,86,93,8.05,overcast clouds
309,Georgiyevka,KZ,43.0369,74.7114,17.64,93,6,4.47,clear sky
310,Dukat,RU,62.55,155.55,-13.77,82,62,3.56,broken clouds
311,Samarai,PG,-10.6167,150.6667,83.39,66,78,12.44,broken clouds
312,Loubomo,CG,-4.1997,12.6739,70.16,97,40,2.57,scattered clouds
313,Lubao,PH,14.9167,120.55,88.14,47,33,13.78,scattered clouds
314,Saint-Joseph,RE,-21.3667,55.6167,77.38,74,45,3.74,scattered clouds
315,Shyryayeve,UA,47.3805,30.1964,37.9,84,70,9.51,broken clouds
316,Bagdarin,RU,54.4333,113.6,4.1,81,100,2.57,overcast clouds
317,Otavi,NA,-19.65,17.3333,64.26,80,100,9.86,overcast clouds
318,Chiriqui Grande,PA,8.95,-82.1167,73.92,90,39,3.09,scattered clouds
319,Mansa,IN,29.9833,75.3833,58.28,64,0,4.56,clear sky
320,Alofi,NU,-19.0595,-169.9187,81.59,74,18,11.39,few clouds
321,Ketchikan,US,55.3422,-131.6461,46.38,89,100,10.94,light rain
322,Bubaque,GW,11.2833,-15.8333,77.2,71,5,7.36,clear sky
323,Gladstone,AU,-23.85,151.25,85.93,48,75,11.5,broken clouds
324,Sibolga,ID,1.7427,98.7792,76.41,85,100,3.78,overcast clouds
325,Inhambane,MZ,-23.865,35.3833,74.89,81,0,0.2,clear sky
326,Lockport,US,41.5895,-88.0578,36.34,85,100,9.22,overcast clouds
327,Am Timan,TD,11.0297,20.2827,67.42,14,8,6.38,clear sky
328,Deyang,CN,31.1302,104.382,46.45,60,89,2.01,overcast clouds
329,Norman Wells,CA,65.282,-126.8329,-10.75,97,100,2.37,overcast clouds
330,Warrnambool,AU,-38.3833,142.4833,65.23,59,76,14.45,broken clouds
331,Mahebourg,MU,-20.4081,57.7,81.25,74,61,6.13,broken clouds
332,Rafaela,AR,-31.2503,-61.4867,72.99,39,2,7.96,clear sky
333,Pisco,PE,-13.7,-76.2167,72.01,73,100,6.91,overcast clouds
334,Koumac,NC,-20.5667,164.2833,80.49,91,100,23.11,moderate rain
335,Pryazha,RU,61.6926,33.6216,27.43,93,100,9.04,light snow
336,Ulagan,RU,50.6321,87.9563,1.67,92,98,1.12,overcast clouds
337,Namibe,AO,-15.1961,12.1522,71.92,84,99,2.82,overcast clouds
338,Makakilo City,US,21.3469,-158.0858,77.32,62,100,4.61,light intensity drizzle
339,Huilong,CN,31.8111,121.655,45.99,61,10,5.99,clear sky
340,Butzow,DE,53.85,11.9833,43.09,96,99,6.8,overcast clouds
341,Novorudnyy,RU,51.5026,58.1873,-4.83,100,100,4.61,overcast clouds
342,Padang,ID,-0.9492,100.3543,84.25,50,100,2.82,overcast clouds
343,Lyuban,BY,52.7985,28.0048,37.54,98,99,13.62,overcast clouds
344,Anadyr,RU,64.75,177.4833,-25.1,75,0,8.95,clear sky
345,Hasaki,JP,35.7333,140.8333,43.2,89,100,20.11,light rain
