City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,Hoquiam,75,US,2022-02-08 01:17:11,86,46.9809,-123.8893,48.96,9.22
314,Santa Rosalia,0,MX,2022-02-08 01:18:11,37,27.3167,-112.2833,65.28,9.66
315,Inongo,97,CD,2022-02-08 01:18:11,67,-1.95,18.2667,74.01,0.67
316,Tautira,100,PF,2022-02-08 01:18:12,77,-17.7333,-149.15,87.82,20.24
317,San Joaquin,0,US,2022-02-08 01:18:12,53,37.9333,-121.3011,68.58,4.61
318,Ponta Delgada,20,PT,2022-02-08 01:14:15,67,37.7333,-25.6667,61.5,8.05
319,Bambanglipuro,100,ID,2022-02-08 01:18:13,78,-7.95,110.2833,79.65,4.74
320,Korla,22,CN,2022-02-08 01:18:13,52,41.7597,86.1469,21.7,2.62
321,Ahipara,52,NZ,2022-02-08 01:18:14,80,-35.1667,173.1667,79.56,6.51
322,Devgarh,0,IN,2022-02-08 01:18:14,69,25.5333,73.9,56.97,2.82
323,Catalao,100,BR,2022-02-08 01:18:15,97,-18.1658,-47.9464,66.4,2.64
324,Poronaysk,16,RU,2022-02-08 01:18:15,76,49.2167,143.1167,11.98,4.56
325,Xiaoshan,75,CN,2022-02-08 01:18:15,93,30.1675,120.2588,37.26,6.71
326,Pisco,0,PE,2022-02-08 01:18:16,88,-13.7,-76.2167,69.03,1.74
327,Erzin,90,TR,2022-02-08 01:18:16,77,36.9559,36.2,46.92,4.03
328,Sahbuz,5,AZ,2022-02-08 01:18:17,74,39.4072,45.5739,20.8,5.01
329,Tambo,100,PE,2022-02-08 01:18:17,82,-14.8,-73.9167,39.49,4.18
330,Mayumba,100,GA,2022-02-08 01:17:19,92,-3.432,10.6554,77.16,8.08
331,Adrar,23,MR,2022-02-08 01:18:17,10,20.5022,-10.0711,64.8,9.89
332,Corner Brook,100,CA,2022-02-08 01:15:29,98,48.9667,-57.9484,28.53,4.0
333,Miri,40,MY,2022-02-08 01:18:18,84,4.4148,114.0089,84.34,5.75
334,San Quintin,0,MX,2022-02-08 01:18:19,39,30.4833,-115.95,63.95,6.46
335,Koungou,75,YT,2022-02-08 01:18:19,89,-12.7336,45.2042,80.31,9.22
336,Victor Harbor,100,AU,2022-02-08 01:18:19,32,-35.5667,138.6167,90.46,12.28
337,Tessalit,0,ML,2022-02-08 01:18:20,11,20.1986,1.0114,63.43,7.16
338,Niamey,0,NE,2022-02-08 01:16:25,14,13.5137,2.1098,73.69,4.61
339,Salinopolis,79,BR,2022-02-08 01:18:20,86,-0.6136,-47.3561,78.37,7.18
340,Castro,0,BR,2022-02-08 01:18:20,74,-24.7911,-50.0119,60.51,3.4
341,Midyat,94,TR,2022-02-08 01:18:21,69,37.4247,41.3393,29.12,4.27
342,Lumphat,22,KH,2022-02-08 01:18:21,65,13.4878,106.9816,78.91,4.7
343,Russkaya Polyana,100,UA,2022-02-08 01:18:21,99,49.417,31.9201,30.78,4.34
344,Carsamba,0,TR,2022-02-08 01:18:22,37,41.1989,36.7219,53.35,10.36
345,Assomada,5,CV,2022-02-08 01:18:22,81,15.1,-23.6833,62.15,5.79
346,Berlevag,100,NO,2022-02-08 01:18:22,89,70.8578,29.0864,25.95,16.06
347,Lewiston,100,US,2022-02-08 01:15:58,96,44.1003,-70.2148,34.48,4.61
348,Krasnoselkup,45,RU,2022-02-08 01:18:23,100,65.7,82.4667,-29.51,4.27
349,Dakar,0,SN,2022-02-08 01:18:23,79,14.6937,-17.4441,70.68,13.09
350,Opuwo,94,NA,2022-02-08 01:18:24,68,-18.0607,13.84,67.73,4.79
351,Mayo,100,US,2022-02-08 01:18:24,93,38.8876,-76.5119,40.19,9.22
352,Port-Gentil,43,GA,2022-02-08 01:18:24,81,-0.7193,8.7815,80.6,10.63
353,Pacifica,0,US,2022-02-08 01:13:51,59,37.6138,-122.4869,68.18,0.0
354,Lagos De Moreno,14,MX,2022-02-08 01:18:25,47,21.35,-101.9167,67.19,6.46
355,Visakhapatnam,40,IN,2022-02-08 01:18:25,94,17.69,83.2093,67.89,2.3
356,Grand Island,0,US,2022-02-08 01:18:25,35,40.925,-98.342,49.3,6.91
357,Balkanabat,2,TM,2022-02-08 01:18:26,68,39.5108,54.3671,39.83,3.98
358,Mao,20,ES,2022-02-08 01:18:26,66,39.8885,4.2658,52.36,17.27
359,Matara,100,LK,2022-02-08 01:18:26,89,5.9485,80.5353,74.01,4.52
360,Padang,100,ID,2022-02-08 01:18:27,77,-0.9492,100.3543,75.25,2.82
361,Cao Bang,100,VN,2022-02-08 01:18:27,95,22.6667,106.25,56.66,2.77
362,Nikolayevsk-Na-Amure,100,RU,2022-02-08 01:18:28,92,53.1406,140.73,8.01,5.77
363,Huaiyin,100,CN,2022-02-08 01:19:28,66,33.5886,119.0192,33.89,3.11
364,Katsuura,100,JP,2022-02-08 01:19:28,76,35.1333,140.3,45.19,17.05
365,Termoli,6,IT,2022-02-08 01:19:29,43,41.9888,14.9895,43.57,29.01
366,Piriyapatna,40,IN,2022-02-08 01:19:29,88,12.3397,76.0992,65.12,1.16
367,Anadyr,56,RU,2022-02-08 01:19:29,76,64.75,177.4833,-23.3,6.71
368,Grand-Santi,35,GF,2022-02-08 01:19:30,99,4.25,-54.3833,72.52,2.35
369,Haapiti,100,PF,2022-02-08 01:19:30,75,-17.5667,-149.8667,87.53,17.81
370,Quatre Cocos,100,MU,2022-02-08 01:19:30,84,-20.2078,57.7625,75.31,10.29
371,Nanakuli,100,US,2022-02-08 01:19:31,60,21.3906,-158.1547,78.75,12.66
372,Te Anau,0,NZ,2022-02-08 01:19:31,45,-45.4167,167.7167,67.64,3.62
373,Lata,0,PT,2022-02-08 01:19:31,60,40.1629,-8.3327,51.82,5.06
374,Skjervoy,98,NO,2022-02-08 01:19:32,73,70.0311,20.9714,32.81,9.75
375,Edd,5,ER,2022-02-08 01:19:32,78,13.9297,41.6925,75.76,7.96
376,Fort Nelson,100,CA,2022-02-08 01:15:29,85,58.8053,-122.7002,6.39,11.5
377,Glenwood Springs,0,US,2022-02-08 01:16:42,45,39.5505,-107.3248,36.63,0.0
378,Kolaras,0,IN,2022-02-08 01:14:45,37,25.2333,77.6,57.52,1.86
379,Mehriz,0,IR,2022-02-08 01:19:33,44,31.5917,54.4318,32.5,2.26
